Time,Altitude (m),Orbital Velocity (m/s),Apoapsis (m),Periapsis (m),Inclination (deg),Battery (%),Inside Temp (K),Outside Temp (K)
7396.533582805333,636574.1059746856,1495.7308808205426,1515669.9995186718,798330.0000279353,1.1362093431564748,19.780807495117188,301.08229951494985,301.08229951494985
7397.553582805355,637077.9243953789,1495.0061785237654,1515669.9995133432,798330.000040525,1.1362093431591307,19.755049618807703,301.0741879313692,301.0741879313692
7398.573582805378,637581.3716080091,1494.2824182200004,1515669.9995240045,798330.0000495964,1.1362093431592766,19.729291742498226,301.066077889064,301.066077889064
7399.5935828054,638084.4470895415,1493.5595995639321,1515669.999529751,798330.0000371872,1.1362093431582525,19.703533866188742,301.05796931014356,301.05796931014356
7400.613582805422,638587.1503189343,1492.8377222390075,1515669.9995287373,798330.00004551,1.1362093431590108,19.677777723832566,301.0498621231308,301.0498621231308
7401.633582805444,639089.480777157,1492.1167858910549,1515669.9995036188,798330.0000453789,1.1362093431597668,19.652019847523082,301.0417562620789,301.0417562620789
7402.653582805467,639591.4379472111,1491.396790206813,1515669.9994928883,798330.0000569667,1.136209343162266,19.6262619712136,301.03365166585917,301.03365166585917
7403.673582805489,640093.0213141069,1490.6777348394376,1515669.9994971731,798330.000065075,1.1362093431633256,19.60050409490412,301.02554827762236,301.02554827762236
7404.673582805511,640584.406337457,1489.9736910891322,1515669.999480102,798330.0000605306,1.136209343163616,19.57525079900568,301.01760490093915,301.01760490093915
7405.6735828055325,641075.431098253,1489.2705504929113,1515669.9994700493,798330.0000730614,1.1362093431658415,19.549997503107246,301.009662587814,301.009662587814
7406.693582805555,641575.9047142952,1488.5542771651142,1515669.9994679277,798330.0000806499,1.1362093431672144,19.524241360751066,301.0015624789229,301.0015624789229
7407.693582805577,642066.2002833993,1487.8529599071892,1515669.9994447941,798330.0000792516,1.1362093431692346,19.49898979880593,300.99362218411324,300.99362218411324
7408.713582805599,642565.9291313903,1487.1385457057875,1515669.9994525788,798330.0000754725,1.136209343168388,19.47323192249645,300.98552405170295,300.98552405170295
7409.733582805621,643065.2811575434,1486.4250697336222,1515669.9994417974,798330.0000643174,1.1362093431688756,19.447474046186965,300.97742685946395,300.97742685946395
7410.733582805643,643554.4756727598,1485.7264939793645,1515669.9994460777,798330.0000703381,1.136209343170116,19.42222075028853,300.96948931412356,300.96948931412356
7411.713582805664,644033.533980591,1485.0427640219716,1515669.999470379,798330.0000774858,1.1362093431710665,19.397473768754438,300.96171133266677,300.96171133266677
7412.713582805686,644522.0090203825,1484.345972156987,1515669.9994745364,798330.0000706989,1.136209343170459,19.372220472856004,300.9537754154723,300.9537754154723
7413.7335828057085,645019.8784948029,1483.6361721074497,1515669.999491883,798330.000085494,1.1362093431734503,19.34646433049982,300.94568157850796,300.94568157850796
7414.753582805731,645517.3686990866,1482.927308505674,1515669.9995027005,798330.0000842364,1.1362093431723477,19.320706454190343,300.93758851576894,300.93758851576894
7415.773582805753,646014.4791414842,1482.2193809801572,1515669.9994839143,798330.0000799935,1.1362093431738727,19.29494857788086,300.929496196458,300.929496196458
7416.793582805775,646511.2093321548,1481.5123891718526,1515669.9994637961,798330.000075674,1.1362093431750917,19.26919070157138,300.9214045917998,300.9214045917998
7417.793582805797,646997.8301036397,1480.820167966891,1515669.999460886,798330.0000635006,1.13620934317118,19.243937405672938,300.9134723140656,300.9134723140656
7418.793582805819,647484.0844620524,1480.128845440012,1515669.9994584045,798330.0000673634,1.1362093431732507,19.218685843727805,300.9055406743226,300.9055406743226
7419.813582805841,647979.6859557091,1479.4246218989447,1515669.9994478372,798330.0000703739,1.136209343175143,19.192927967418324,300.8974510368214,300.8974510368214
7420.813582805863,648465.1987698108,1478.7351136009318,1515669.9994511495,798330.0000819659,1.1362093431744513,19.167676405473188,300.8895206221554,300.8895206221554
7421.833582805885,648960.0429442702,1478.032739812142,1515669.9994372707,798330.0000677452,1.136209343173661,19.141918529163707,300.8814321947269,300.8814321947269
7422.8535828059075,649454.5039959177,1477.331299509685,1515669.999448401,798330.0000772149,1.1362093431753642,19.116160652854226,300.87334435110546,300.87334435110546
7423.853582805929,649938.8973448693,1476.6445187316674,1515669.9994292608,798330.0000601797,1.1362093431729285,19.090909090909093,300.8654156434194,300.8654156434194
7424.873582805952,650432.5982579123,1475.9449259061396,1515669.999427105,798330.0000661209,1.1362093431723788,19.06514948064631,300.8573289079678,300.8573289079678
7425.893582805974,650925.9146327325,1475.2462653810028,1515669.9994172654,798330.0000634256,1.1362093431730056,19.03939333829013,300.84924270975665,300.84924270975665
7426.893582805996,651409.184380786,1474.5622087609086,1515669.9994020711,798330.0000514766,1.1362093431713567,19.014140042391688,300.84131557285525,300.84131557285525
7427.913582806018,651901.7378302366,1473.8653934082793,1515669.9994030315,798330.0000442443,1.136209343170708,18.98838390003551,300.8332303994586,300.8332303994586
7428.93358280604,652393.9053424895,1473.1695091938082,1515669.99942485,798330.0000415429,1.1362093431678821,18.962626023726028,300.82514572589736,300.82514572589736
7429.933582806062,652876.047401844,1472.4881733012835,1515669.9994308644,798330.0000460885,1.1362093431694402,18.937372727827594,300.8172200504719,300.8172200504719
7430.953582806084,653367.4492342661,1471.7941318907783,1515669.9994293174,798330.0000324359,1.1362093431674458,18.91161485151811,300.80913633677034,300.80913633677034
7431.953582806106,653848.8397368565,1471.1146018985776,1515669.9994214599,798330.0000277614,1.136209343168183,18.886361555619676,300.8012115848709,300.8012115848709
7432.973582806128,654339.4740768389,1470.422401734303,1515669.9994295794,798330.0000323278,1.1362093431674822,18.860605413263496,300.7931287976584,300.7931287976584
7433.97358280615,654820.111252479,1469.7446760960065,1515669.9994292255,798330.0000299173,1.136209343167551,18.835352117365055,300.78520494918797,300.78520494918797
7434.9935828061725,655309.9763014207,1469.0543155645728,1515669.9994319654,798330.0000320273,1.1362093431687001,18.80959597500888,300.7771230985274,300.7771230985274
7435.993582806194,655789.858393603,1468.3783927017664,1515669.999445744,798330.0000176199,1.136209343167465,18.78434267911044,300.7692001970776,300.7692001970776
7437.013582806217,656278.9523668005,1467.6898701945147,1515669.9994549772,798330.0000232109,1.1362093431672824,18.75858480280096,300.7611193454534,300.7611193454534
7438.013582806238,656758.0776325676,1467.0157485112709,1515669.9994319794,798330.0000360116,1.1362093431701272,18.733333240855824,300.7531974552822,300.7531974552822
7439.033582806261,657246.3987590622,1466.3290623795183,1515669.9994183814,798330.0000300618,1.1362093431689269,18.70757363059304,300.7451176658927,300.7451176658927
7440.0335828062825,657724.7654689238,1465.6567402688272,1515669.9994014553,798330.000025983,1.1362093431683646,18.682322068647906,300.7371968454508,300.7371968454508
7441.033582806304,658202.7560201667,1464.9853084571234,1515669.9994044323,798330.0000442514,1.136209343169863,18.657068772749465,300.72927657420473,300.72927657420473
7442.053582806327,658689.9184293586,1464.3013647611815,1515669.9994105354,798330.0000546367,1.1362093431716178,18.63131263039329,300.7211984759675,300.7211984759675
7443.073582806349,659176.6886043842,1463.6183464679448,1515669.9994094695,798330.0000612432,1.136209343171379,18.605554754083805,300.7131209742676,300.7131209742676
7444.073582806371,659653.533067449,1462.9496186466126,1515669.9994077408,798330.0000685215,1.1362093431723892,18.58030145818537,300.70520244569553,300.70520244569553
7445.093582806393,660139.5251648033,1462.268431758897,1515669.9994095312,798330.0000658027,1.1362093431720792,18.55454531582919,300.6971261606641,300.6971261606641
7446.113582806415,660625.1237183239,1461.5881690043827,1515669.9994191134,798330.0000656454,1.1362093431713918,18.528785705566406,300.6890505072071,300.6890505072071
7447.1335828064375,661110.3282920141,1460.908829949183,1515669.9994389869,798330.0000630871,1.1362093431697697,18.503029563210227,300.6809754965474,300.6809754965474
7448.133582806459,661585.6361637441,1460.2437075427556,1515669.9994363794,798330.0000540287,1.136209343169106,18.47777626731179,300.6730594540644,300.6730594540644
7449.153582806482,662070.0592227997,1459.5661964830072,1515669.9994454298,798330.0000610981,1.1362093431690166,18.452020124955613,300.6649857515879,300.6649857515879
7450.153582806503,662544.6000735986,1458.902865385294,1515669.9994301863,798330.0000572283,1.1362093431692206,18.426766829057172,300.6570710371518,300.6570710371518
7451.173582806526,663028.2399278928,1458.227180606308,1515669.9994422363,798330.0000695509,1.136209343170852,18.40100895274769,300.6489987717567,300.6489987717567
7452.193582806548,663511.4836645483,1457.5524173377212,1515669.9994375543,798330.0000716936,1.1362093431720637,18.37525107643821,300.64092731001097,300.64092731001097
7453.19358280657,663984.8670797695,1456.8917788912283,1515669.999446566,798330.0000659743,1.1362093431717355,18.349997780539773,300.63301494164676,300.63301494164676
7454.213582806592,664467.3250928221,1456.21883928436,1515669.9994456011,798330.000061907,1.1362093431706335,18.324241638183594,300.6249452186526,300.6249452186526
7455.213582806614,664939.9373767218,1455.5599878940363,1515669.9994533372,798330.0000784912,1.1362093431729765,18.298988342285156,300.6170346428252,300.6170346428252
7456.213582806636,665412.1673126416,1454.9020205296267,1515669.9994408982,798330.000085064,1.1362093431742757,18.273736780340023,300.6091250137861,300.6091250137861
7457.233582806658,665893.4475425927,1454.2318041230624,1515669.9994515313,798330.000090732,1.1362093431723375,18.24797890403054,300.60105820442226,300.60105820442226
7458.23358280668,666364.9039318799,1453.575621214322,1515669.9994418118,798330.0000824701,1.136209343169217,18.2227256081321,300.5931505939708,300.5931505939708
7459.253582806702,666845.3943267332,1452.9072240568055,1515669.9994246974,798330.0000823544,1.1362093431700668,18.196969465775922,300.58508591052106,300.58508591052106
7460.273582806724,667325.485275524,1452.2397448625902,1515669.9994203502,798330.0000795296,1.1362093431696807,18.17120985551314,300.5770223478535,300.5770223478535
7461.273582806746,667795.7745037086,1451.5862441929535,1515669.9994260848,798330.0000710665,1.1362093431672935,18.145958293568004,300.5691180105648,300.5691180105648
7462.293582806768,668275.0731758778,1450.9205815666628,1515669.9994231425,798330.0000665286,1.1362093431671743,18.120200417258523,300.56105675245107,300.56105675245107
7463.29358280679,668744.5848732034,1450.268860953055,1515669.9994133047,798330.0000538981,1.1362093431635114,18.09494885531339,300.55315472645754,300.55315472645754
7464.3135828068125,669223.089662195,1449.6050130894907,1515669.9994170223,798330.0000471732,1.13620934316172,18.069190979003906,300.5450958760808,300.5450958760808
7465.313582806834,669691.8222597477,1448.9550707661049,1515669.9994084854,798330.0000375886,1.1362093431610691,18.04393768310547,300.53719625737887,300.53719625737887
7466.333582806857,670169.5315714891,1448.2930358339336,1515669.9994051652,798330.0000126801,1.1362093431581204,18.01818154074929,300.52913990777563,300.52913990777563
7467.333582806878,670637.4835125504,1447.6448700193812,1515669.9994098297,798330.0000171798,1.1362093431574534,17.99292824485085,300.5212427831129,300.5212427831129
7468.353582806901,671114.3957653998,1446.9846461953787,1515669.9994082577,798329.9999863082,1.1362093431535831,17.96717036854137,300.5131890185188,300.5131890185188
7469.373582806923,671590.9049459146,1446.3253362100918,1515669.9994236892,798329.9999797803,1.1362093431521845,17.94141249223189,300.50513658873393,300.50513658873393
7470.373582806945,672057.6791299984,1445.6798405255067,1515669.9994113445,798329.999976587,1.1362093431512632,17.916160930286754,300.49724336344605,300.49724336344605
7471.393582806967,672533.3888944662,1445.0223388578654,1515669.99940706,798329.9999614321,1.1362093431487226,17.890403053977273,300.48919363106114,300.48919363106114
7472.393582806989,672999.3785755534,1444.3786151408508,1515669.9994108803,798329.9999567023,1.1362093431477895,17.865149758078836,300.4813030835368,300.4813030835368
7473.393582807011,673464.9793275748,1443.735767959003,1515669.99942297,798329.9999523583,1.136209343147016,17.8398981961337,300.47341388496136,300.47341388496136
7474.413582807033,673939.4910364514,1443.0809663717716,1515669.9994230575,798329.9999664084,1.13620934314862,17.81414031982422,300.46536830715513,300.46536830715513
7475.433582807055,674413.5973279453,1442.4270757822892,1515669.9994233826,798329.999983786,1.13620934315304,17.788382443514735,300.45732416260734,300.45732416260734
7476.4535828070775,674887.2978127555,1441.7740957185304,1515669.9994529688,798330.0000013129,1.136209343152836,17.762624567205258,300.44928146538206,300.44928146538206
7477.453582807099,675351.3157295727,1441.1348026201567,1515669.9994527788,798330.0000223235,1.1362093431571734,17.73737300526012,300.4413978860833,300.4413978860833
